,Manufacturer,Model,Application(s),Power,SFC,Airflow,OPR,Number,LPC,HPC,HPT,IPT,LPT,Length,Diameter,Weight
56,Pratt Whitney Canada,PW120A,"CT-142 Dash 8, E-9A",1491.4,0.29501453310327297,,,2 + FT,1C,1C,1.0,1,2.0,2.1336,0.7874,423.20133599999997
57,Rolls-Royce/Turbomeca,RTM 322-01/8,"Merlin HM.1 (EH101 Mk.111),  EH101 Mk.512/Mk.514/Mk.515/Mk.516, US101 (candidate  engine)",1640.54,0.27372482452881,,14.0,1 + FT,,3 + 1C,2.0,,2.0,1.17094,0.6578599999999999,244.486088
58,Rolls-Royce/Turbomeca,RTM 322-02/8,"Merlin HC.3 (EH101 Mk.411), CH-149  Cormorant (candidate engine)",1640.54,0.27372482452881,,14.0,1 + FT,,3 + 1C,2.0,,2.0,1.17094,0.6578599999999999,244.486088
59,Rolls-Royce/Turbomeca,RTM 322-01/9,"NH90 NFH/TTH, HKP-14 (option)",1812.0510000000002,0.255476502893556,,16.0,1 + FT,,3 + 1C,2.0,,2.0,1.17094,0.6578599999999999,226.342408
60,GE,XT31-GE-1,XP-81,1267.69,0.5292013274223659,,6.1,1,,14,1.0,,,2.9463999999999997,0.9144,864.09276
61,GE,XT31-GE-2,XF2R-1,1267.69,0.5292013274223659,,6.1,1,,14,1.0,,,2.9463999999999997,0.9144,864.09276
62,GE,XT31-GE-3,(engine cancelled),1267.69,0.5292013274223659,,6.1,1,,14,1.0,,,2.9463999999999997,0.9144,864.09276
63,Fredrich Flader,XT33-FF-1,(engine cancelled),4399.63,0.35888365882666196,,4.7,1,,11,2.0,,,3.93446,1.3055599999999998,2179.50956
64,Wright,XT35-W-1,"XB-52 (early candidate engine, engine cancelled)",4101.35,0.450125267002932,,4.3,1,,2C,2.0,,,3.8608,1.4986,2018.4844
65,Turbodyne,XT37-NA-3,YB-35A,7457.0,0.407545849854006,,6.0,1,,14,2.0,,,4.2418,1.1683999999999999,2721.552
66,Allison,XT39-A-1,(engine cancelled),6711.3,0.322387015556154,,6.2,1,,16,4.0,,,4.4704,0.9905999999999999,1678.2904
