,Manufacturer,Model,Application(s),Power,SFC,Airflow,OPR,Number,LPC,HPC,HPT,IPT,LPT,Length,Diameter,Weight
140,Garrett,TPE331-12,,858.3007,0.3175207964534196,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,181.4368
141,Garrett,TPE331-12JR-701C,C-212-400,858.3007,0.3175207964534196,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,181.4368
142,Garrett,TPE331-12JR-701S,Caravan,858.3007,0.3175207964534196,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,181.4368
143,Garrett,TPE331-12U-701G,"Metro 23-12, Merlin 5/6 (not produced)",858.3007,0.3175207964534196,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,181.4368
144,Garrett,TPE331-12UA-701G,Metro 23-12,858.3007,0.3175207964534196,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,181.4368
145,Garrett,TPE331-12UA-701H,Jetstream 3201/3201EP/3206,858.3007,0.3175207964534196,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,181.4368
146,Garrett,TPE331-12UAR-701G,"Metro V, Metro 23-12",858.3007,0.3175207964534196,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,181.4368
147,Garrett,TPE331-12UH-701G,Metro 23-12,858.3007,0.3175207964534196,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,181.4368
148,Garrett,TPE331-12UHR-701G,Metro 23-12,858.3007,0.3175207964534196,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,181.4368
149,Garrett,TPE331-12UHR-701H,Jetstream 3201/3217,858.3007,0.3175207964534196,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,181.4368
150,Garrett (Allied-Signal),TPE331-14B,Cheyenne 400,978.3584000000001,0.313262854738527,,11.0,1,,2C,3.0,,,1.3461999999999998,0.8128,281.22704
151,Garrett (Allied-Signal),TPE331-14GR-801H,Jetstream 4102,1284.8411,0.310221467799318,,11.4,1,,2C,3.0,,,1.3461999999999998,0.8128,281.22704
152,Garrett (Allied-Signal),TPE331-14GR-802H,,1284.8411,0.310221467799318,,11.4,1,,2C,3.0,,,1.3461999999999998,0.8128,281.22704
153,Garrett (Allied-Signal),TPE331-14GR-805H,Jetstream 4101,1284.8411,0.310221467799318,,11.4,1,,2C,3.0,,,1.3461999999999998,0.8128,281.22704
154,Garrett (Allied-Signal),TPE331-14HR-801H,Jetstream 4102,1284.8411,0.310221467799318,,11.4,1,,2C,3.0,,,1.3461999999999998,0.8128,281.22704
155,Garrett (Allied-Signal),TPE331-14HR-802H,,1284.8411,0.310221467799318,,11.4,1,,2C,3.0,,,1.3461999999999998,0.8128,281.22704
156,Garrett (Allied-Signal),TPE331-14HR-805H,Jetstream 4101,1284.8411,0.310221467799318,,11.4,1,,2C,3.0,,,1.3461999999999998,0.8128,281.22704
157,Garrett,TPE331-25D,PC-6/C Turbo-Porter,428.77750000000003,0.404504462914797,,8.2,1,,2C,3.0,,,1.1683999999999999,0.6604,151.95332
158,Garrett,TPE331-25/61,"MU-2A/2E1/25D, Heliporter 43,  Hawk Commander 47, Volpar Super Turbo 18",428.77750000000003,0.404504462914797,,8.2,1,,2C,3.0,,,1.1683999999999999,0.6604,151.95332
159,GE,CT7-2A,"Bell 214ST, EH101 prototypes",1211.7625,0.28771520444917137,,,1 + FT,,5 + 1C,2.0,,2.0,1.1938,0.6604,200.487664
160,GE,CT7-2D,S-70,1211.7625,0.28771520444917137,,,1 + FT,,5 + 1C,2.0,,2.0,1.1938,0.6604,200.487664
161,GE,CT7-2D1,S-70,1211.7625,0.28771520444917137,,,1 + FT,,5 + 1C,2.0,,2.0,1.1938,0.6604,211.373872
162,GE,CT7-6,EH101 Mk.300/Mk.500,1491.4,0.28589037228564596,,,1 + FT,,5 + 1C,2.0,,2.0,1.22428,0.6604,223.620856
163,GE,CT7-7A,CN-235,1267.69,0.2883234818370132,,14.0,1 + FT,,5 + 1C,2.0,,2.0,2.4383999999999997,0.7365999999999999,355.162536
164,GE,CT58-GE-110-1,"S-62B/C, HH-52A, V107/II",1043.98,0.377131980461916,14.0,8.4,2,,10,2.0,,2.0,0.5257799999999999,1.6078199999999998,199.58048
165,IHI,CT58-IHI-110-1,KV107/II-2/II-7,1043.98,0.377131980461916,14.0,8.4,2,,10,2.0,,2.0,0.5257799999999999,1.6078199999999998,199.58048
166,Isotov (Klimov),GTD-350,Mi-2/-2B/-2R,293.80580000000003,0.510953005787112,5.0,6.1,1 + FT,,7 + 1C,1.0,,2.0,1.3817599999999999,0.62992,139.252744
167,Ivchenko,AI-20M,"Il-18D/E, Il-38, An-32",2908.23,0.267642050650392,46.0,7.6,1,,10,3.0,,,3.09626,1.1811,1040.086456
